state,puma12,county,stab,cntyname,PUMAname,pop16,afact
State code,PUMA (2012),County code,State abbreviation,County name,PUMA12 name,Population (2016 est.),puma12 to county allocation factor
37,02300,37075,NC,Graham NC,"Haywood, Madison, Swain, Graham & Jackson (North) Counties",8558,0.077
37,02300,37087,NC,Haywood NC,"Haywood, Madison, Swain, Graham & Jackson (North) Counties",60682,0.5461
37,02300,37099,NC,Jackson NC,"Haywood, Madison, Swain, Graham & Jackson (North) Counties",6199.1088,0.0558
37,02300,37115,NC,Madison NC,"Haywood, Madison, Swain, Graham & Jackson (North) Counties",21340,0.192
37,02300,37173,NC,Swain NC,"Haywood, Madison, Swain, Graham & Jackson (North) Counties",14346,0.1291
37,02400,37039,NC,Cherokee NC,"Jackson (South), Macon, Cherokee & Clay Counties",27905,0.2555
37,02400,37043,NC,Clay NC,"Jackson (South), Macon, Cherokee & Clay Counties",10915,0.0999
37,02400,37099,NC,Jackson NC,"Jackson (South), Macon, Cherokee & Clay Counties",36041.8912,0.3299
37,02400,37113,NC,Macon NC,"Jackson (South), Macon, Cherokee & Clay Counties",34376,0.3147
37,02500,37089,NC,Henderson NC,Henderson & Transylvania Counties,114209,0.7733
37,02500,37175,NC,Transylvania NC,Henderson & Transylvania Counties,33482,0.2267
37,02600,37045,NC,Cleveland NC,"Rutherford, Cleveland (West) & Polk Counties--Shelby City",49508.0007,0.3633
37,02600,37149,NC,Polk NC,"Rutherford, Cleveland (West) & Polk Counties--Shelby City",20334,0.1492
37,02600,37161,NC,Rutherford NC,"Rutherford, Cleveland (West) & Polk Counties--Shelby City",66421,0.4874
37,02700,37045,NC,Cleveland NC,Lincoln & Cleveland (East) Counties,47635.9993,0.3698
37,02700,37109,NC,Lincoln NC,Lincoln & Cleveland (East) Counties,81168,0.6302
37,02800,37035,NC,Catawba NC,Catawba County--Hickory City,156459,1
37,02900,37097,NC,Iredell NC,Iredell (South)--Mooresville Town & Statesville City,145805.7229,1
37,03001,37071,NC,Gaston NC,Gaston County (Northwest)--Mount Holly City,107262.318,1
37,03002,37071,NC,Gaston NC,Gaston County (Southeast)--Gastonia & Belmont Cities,109702.682,1
37,03101,37119,NC,Mecklenburg NC,Charlotte City (Central),117776.3811,1
37,03102,37119,NC,Mecklenburg NC,Charlotte City (Northwest),131070.3844,1
37,03103,37119,NC,Mecklenburg NC,Charlotte City (Northeast),125814.7223,1
